app.js:7174 📦 [DATABASE STARTUP] Inspección de data-bundle.json
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:883 🏎️ [SPEED MATH] azumarill | Speed Base: 50 | EV/IV Calc: 70 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 70
app.js:883 🏎️ [SPEED MATH] charizardmegay | Speed Base: 100 | EV/IV Calc: 136 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 136
app.js:883 🏎️ [SPEED MATH] whimsicott | Speed Base: 116 | EV/IV Calc: 154 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 154
app.js:883 🏎️ [SPEED MATH] arcaninehisui | Speed Base: 90 | EV/IV Calc: 125 | Habilidad/Objeto/Viento Afín(Mod): 1 | VELOCIDAD FINAL: 125
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs azumarill | BP: 120 | Atk: 139 / Def: 100 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 48 - 56
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs azumarill | BP: 150 | Atk: 139 / Def: 100 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 119 - 140
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs azumarill | BP: 80 | Atk: 139 / Def: 100 | Modificadores: STAB(1), Efectividad(1), Clima(1), Spread(1) | Rango: 43 - 50
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs azumarill | BP: 120 | Atk: 139 / Def: 100 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 32 - 37
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs kingambit | BP: 120 | Atk: 139 / Def: 140 | Modificadores: STAB(1.5), Efectividad(2), Clima(1), Spread(1) | Rango: 138 - 163
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs kingambit | BP: 150 | Atk: 139 / Def: 140 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 43 - 50
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs kingambit | BP: 80 | Atk: 139 / Def: 140 | Modificadores: STAB(1), Efectividad(0.5), Clima(1), Spread(1) | Rango: 15 - 18
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs kingambit | BP: 120 | Atk: 139 / Def: 140 | Modificadores: STAB(1), Efectividad(4), Clima(1), Spread(1) | Rango: 185 - 217
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs farigiraf | BP: 120 | Atk: 139 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 106 - 125
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Headsmash vs farigiraf | BP: 150 | Atk: 139 / Def: 90 | Modificadores: STAB(1.5), Efectividad(1), Clima(1), Spread(1) | Rango: 132 - 155
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Extremespeed vs farigiraf | BP: 80 | Atk: 139 / Def: 90 | Modificadores: STAB(1), Efectividad(1), Clima(1), Spread(1) | Rango: 47 - 56
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Closecombat vs farigiraf | BP: 120 | Atk: 139 / Def: 90 | Modificadores: STAB(1), Efectividad(1), Clima(1), Spread(1) | Rango: 71 - 83
app.js:1204 💥 [DAMAGE MATH] arcaninehisui usa Flareblitz vs tyranitar | BP: 120 | Atk: 139 / Def: 130 | Modificadores: STAB(1.5), Efectividad(0.5), Clima(1), Spread(1) | Rango: 37 - 43
